Rank;Country;Age;Birthday;Weight;Height;WL_17;T17;Earn17;Career_high;WL_career;T_career;Earn_career
AlbertRamos-Vinolas;23;ESP;29;1988.01.17;80;188;34-31;0;1,643,204;17;157-178;1;5,425,723
MilosRaonic;24;CAN;27;1990.12.27;98;196;29-12;0;1,405,103;3;288-132;8;15,804,114
GillesMuller;25;LUX;34;1983.05.09;89;193;32-18;2;1,227,494;21;223-194;2;5,403,128
DiegoSchwartzman;26;ARG;25;1992.08.16;64;170;39-28;0;1,523,297;25;70-76;1;3,013,699
FabioFognini;27;ITA;30;1987.05.24;74;178;36-23;1;1,304,964;13;282-259;5;9,337,102
AdrianMannarino;28;FRA;29;1988.06.29;70;180;33-27;0;1,279,672;27;136-163;0;4,758,169
PhilippKohlschreiber;29;GER;34;1983.10.16;70;178;32-19;1;1,171,269;16;423-322;8;10,736,926
DamirDzumhur;30;BIH;25;1992.05.20;70;175;36-24;2;1,012,697;30;76-66;2;2,180,869
RichardGasquet;31;FRA;31;1986.06.18;75;185;29-18;0;1,020,777;7;486-280;14;15,840,750
PabloCuevas;32;URU;31;1986.01.01;80;180;20-21;1;1,124,361;19;178-155;6;6,727,812
MischaZverev;33;GER;30;1987.08.22;88;191;30-32;0;1,276,820;25;110-155;0;4,115,572
FilipKrajinovic;34;SRB;25;1992.02.27;75;185;5-2;0;605,365;33;21-32;0;1,346,124
FernandoVerdasco;35;ESP;34;1983.11.15;87;185;29-25;0;1,221,155;7;487-361;7;14,490,880
FelicianoLopez;36;ESP;36;1981.09.20;73;185;25-23;1;1,303,087;12;452-409;6;14,640,010
DavidFerrer;37;ESP;35;1982.04.02;73;175;24-21;1;1,046,695;3;717-353;27;30,796,561
AlexandrDolgopolov;38;UKR;29;1988.11.07;71;180;28-23;1;934,290;13;216-196;3;6,894,349
AndreyRublev;39;RUS;20;1997.10.20;68;188;21-18;1;1,296,168;35;33-37;1;1,697,899
YuichiSugita;40;JPN;29;1988.09.18;70;175;22-16;1;727,829;36;39-50;1;1,613,571
BenoitPaire;41;FRA;28;1989.05.08;80;196;31-31;0;1,022,828;18;153-169;1;5,179,002
RobinHaase;42;NED;30;1987.04.06;71;191;28-30;0;1,036,252;33;190-216;2;5,269,193
PaoloLorenzi;43;ITA;36;1981.12.15;77;183;25-35;0;979,470;33;97-154;1;4,039,685
SteveJohnson;44;USA;28;1989.12.24;86;188;30-22;1;933,228;21;122-116;2;4,231,510
KarenKhachanov;45;RUS;21;1996.05.21;88;198;26-31;0;1,157,784;29;43-46;1;1,848,679
GaelMonfils;46;FRA;31;1986.09.01;80;193;20-14;0;1,021,555;6;411-232;6;13,744,378
RyanHarrison;47;USA;25;1992.05.07;84;185;19-23;1;780,131;40;93-129;1;3,624,828
BornaCoric;48;CRO;21;1996.11.14;79;185;24-26;1;994,482;33;79-86;1;2,605,378
AljazBedene;49;GBR;28;1989.07.18;72;183;19-18;0;640,720;45;70-87;0;2,289,561
KyleEdmund;50;GBR;22;1995.01.08;83;188;30-30;0;952,699;40;53-63;0;2,117,993
DenisShapovalov;51;CAN;18;1999.04.15;76;183;12-13;0;762,664;49;14-15;0;828,926
LeonardoMayer;52;ARG;30;1987.05.15;80;191;11-8;1;655,888;21;141-145;2;4,784,952
Jan-LennardStruff;53;GER;27;1990.04.25;87;196;28-29;0;781,676;44;65-92;0;2,377,544
JaredDonaldson;54;USA;21;1996.10.09;75;188;21-25;0;840,088;50;32-44;0;1,457,145
ViktorTroicki;55;SRB;31;1986.02.10;86;193;24-28;0;886,201;12;282-250;3;8,060,087
JulienBenneteau;56;FRA;36;1981.12.20;79;185;13-14;0;570,506;25;265-286;0;8,997,245
JoaoSousa;57;POR;28;1989.03.30;74;185;25-32;0;704,606;28;142-157;2;4,296,925
HyeonChung;58;KOR;21;1996.05.19;87;188;29-18;1;1,040,510;44;51-43;1;1,687,063
NikolozBasilashvili;59;GEO;25;1992.02.23;79;185;25-27;0;732,876;51;37-46;0;1,409,671
PeterGojowczyk;60;GER;28;1989.07.15;83;188;14-9;1;410,401;60;25-26;1;1,169,213
DonaldYoung;61;USA;28;1989.07.23;79;183;24-22;0;713,155;38;121-175;0;4,216,868
JiriVesely;62;CZE;24;1993.07.10;92;198;24-26;0;705,189;35;85-102;1;2,917,835
DenisIstomin;63;UZB;31;1986.09.07;88;188;17-18;1;699,225;33;211-227;2;5,336,016
GuidoPella;64;ARG;27;1990.05.17;83;185;16-18;0;460,121;39;43-63;0;1,892,801
DaniilMedvedev;65;RUS;21;1996.02.11;81;198;24-26;0;727,579;48;29-31;0;939,364
HoracioZeballos;66;ARG;32;1985.04.27;83;188;20-22;0;707,541;39;80-119;1;3,602,816
DudiSela;67;ISR;32;1985.04.04;65;175;13-17;0;474,394;29;136-184;0;3,574,712
FedericoDelbonis;68;ARG;27;1990.10.05;88;191;11-10;0;378,265;33;96-103;2;2,788,347
FlorianMayer;69;GER;34;1983.10.05;82;191;10-17;0;673,616;18;241-246;2;6,914,734
GuillermoGarcia-Lopez;70;ESP;34;1983.06.04;80;185;5-15;0;403,631;23;275-321;5;7,454,851
Yen-HsunLu;71;TPE;34;1983.08.14;74;180;9-14;0;442,787;33;161-222;0;4,796,896
EvgenyDonskoy;72;RUS;27;1990.05.09;74;185;5-14;0;435,654;65;36-79;0;1,935,575
ThomasFabbiano;73;ITA;28;1989.05.26;69;173;4-12;0;381,464;70;9-28;0;1,021,151
MikhailKukushkin;74;KAZ;30;1987.12.26;72;183;13-14;0;524,936;46;117-151;1;3,663,017
DusanLajovic;75;SRB;27;1990.06.30;78;183;18-22;0;548,667;57;75-99;0;2,307,855
MatthewEbden;76;AUS;30;1987.11.26;80;188;9-7;0;193,408;61;49-84;0;1,970,540
SteveDarcis;77;BEL;33;1984.03.13;77;178;20-20;0;531,591;38;111-121;2;2,989,098
JeremyChardy;78;FRA;30;1987.02.12;75;188;18-21;0;558,812;25;224-230;1;7,093,244
FrancesTiafoe;79;USA;19;1998.01.20;77;188;7-17;0;499,300;60;9-29;0;849,255
IvoKarlovic;80;CRO;38;1979.02.28;104;211;15-20;0;670,230;14;346-307;8;8,790,533
Pierre-HuguesHerbert;81;FRA;26;1991.03.18;75;188;10-20;0;548,422;63;30-51;0;4,021,201
Cedrik-MarcelStebe;82;GER;27;1990.10.09;70;183;6-6;0;201,758;71;21-30;0;794,974
VictorEstrellaBurgos;83;DOM;37;1980.08.02;77;170;9-10;1;354,188;43;82-72;3;1,958,311
MikhailYouzhny;84;RUS;35;1982.06.25;73;183;10-20;0;461,710;8;492-398;10;13,863,808
MartonFucsovics;85;HUN;25;1992.02.08;82;188;9-8;0;284,020;84;22-20;0;660,347
AndreasSeppi;86;ITA;33;1984.02.21;75;191;18-18;0;562,562;18;327-350;3;8,769,327
RaduAlbot;87;MDA;28;1989.11.11;69;175;9-17;0;467,397;81;30-42;0;1,268,479
LasloDjere;88;SRB;22;1995.06.02;80;185;7-5;0;139,601;88;7-8;0;307,616
GillesSimon;89;FRA;33;1984.12.27;70;183;16-25;0;666,044;6;421-307;12;12,475,521
MaximilianMarterer;90;GER;22;1995.06.15;84;191;0-10;0;207,490;90;0-14;0;315,881
StefanosTsitsipas;91;GRE;19;1998.08.12;83;193;4-10;0;302,949;87;4-10;0;351,082
LukasLacko;92;SVK;30;1987.11.03;85;185;7-10;0;322,215;44;85-128;0;2,780,502
MariusCopil;93;ROU;27;1990.10.17;86;191;8-15;0;365,038;74;36-48;0;1,153,837
JordanThompson;94;AUS;23;1994.04.20;73;183;13-17;0;423,584;63;16-29;0;981,787
NicolasKicker;95;ARG;25;1992.08.16;75;178;10-13;0;362,740;78;11-15;0;560,301
TennysSandgren;96;USA;26;1991.07.22;87;188;2-6;0;227,350;85;2-6;0;478,785
BlazKavcic;97;SLO;30;1987.03.05;78;188;1-2;0;166,752;68;55-80;0;1,719,516
MalekJaziri;98;TUN;33;1984.01.20;82;185;16-22;0;582,968;47;68-94;0;2,394,064
TaroDaniel;99;JPN;24;1993.01.27;76;191;4-10;0;336,924;85;18-39;0;933,082
GeraldMelzer;100;AUT;27;1990.07.13;80;188;9-9;0;213,047;68;16-28;0;699,660
RogerioDutraSilva;101;BRA;33;1984.02.05;73;178;12-11;1;100,434;86;19-23;1;1,504,125
MarcosBaghdatis;102;CYP;32;1985.06.17;82;178;18-17;0;486,565;8;333-255;4;8,147,973
NicolasMahut;103;FRA;35;1982.01.21;80;191;15-19;0;608,164;37;171-213;4;8,779,268
TaylorFritz;104;USA;20;1997.10.28;84;193;13-13;0;380,211;53;29-36;0;968,678
JankoTipsarevic;105;SRB;33;1984.06.22;80;180;5-12;0;301,145;8;281-246;4;8,189,576
RobertoCarballesBaena;106;ESP;24;1993.03.23;76;180;3-2;0;123,833;95;13-17;0;516,996
AndreyKuznetsov;107;RUS;26;1991.02.22;71;185;14-22;0;449,285;39;77-97;0;2,712,720
VasekPospisil;108;CAN;27;1990.06.23;84;193;8-13;0;324,685;25;91-121;0;4,748,682
MarcoCecchinato;109;ITA;25;1992.09.30;78;185;1-5;0;180,092;82;4-23;0;738,457
BjornFratangelo;110;USA;24;1993.07.19;79;183;8-11;0;312,230;99;14-22;0;813,485
NicolasJarry;111;CHI;22;1995.10.11;87;198;2-3;0;159,234;99;5-10;0;298,534
CarlosBerlocq;112;ARG;34;1983.02.03;81;183;13-20;0;412,192;37;133-185;2;4,018,067
ThomazBellucci;113;BRA;29;1987.12.30;82;188;14-20;0;439,419;21;199-211;4;5,157,757
CameronNorrie;114;GBR;22;1995.08.23;80;188;2-4;0;226,350;110;2-4;0;271,547
GastaoElias;115;POR;27;1990.11.24;76;183;7-11;0;229,244;57;28-47;0;1,022,961
YukiBhambri;116;IND;25;1992.07.04;77;183;8-4;0;140,913;88;22-19;0;547,183
AlexanderBublik;117;KAZ;20;1997.06.17;76;196;3-3;0;217,759;95;5-5;0;290,640
RubenBemelmans;118;BEL;29;1988.01.14;75;183;6-5;0;289,066;84;22-41;0;1,402,730
YannickHanfmann;119;GER;26;1991.11.13;84;193;7-5;0;144,674;114;7-5;0;185,039
ErnestoEscobedo;120;USA;21;1996.07.04;82;185;9-15;0;369,659;67;11-19;0;564,214
HenriLaaksonen;121;SUI;25;1992.03.31;78;185;11-12;0;280,186;93;22-30;0;644,116
SergiyStakhovsky;122;UKR;31;1986.01.06;80;193;6-8;0;288,598;31;164-197;4;4,783,571
JerzyJanowicz;123;POL;27;1990.11.13;94;203;6-6;0;283,923;14;101-95;0;3,753,236
ThiagoMonteiro;124;BRA;23;1994.05.31;78;183;13-24;0;452,632;74;19-31;0;672,207
DustinBrown;125;GER;33;1984.12.08;78;196;10-20;0;455,855;64;60-93;0;2,633,386
PedroSousa;126;POR;29;1988.05.27;70;178;4-1;0;109,828;102;9-8;0;326,574
AdrianMenendez-Maceiras;127;ESP;32;1985.10.28;75;183;2-4;0;184,957;111;3-11;0;938,132
JohnMillman;128;AUS;28;1989.06.14;79;183;3-6;0;297,602;60;29-43;0;1,377,211
QuentinHalys;129;FRA;21;1996.10.26;78;191;2-6;0;196,467;117;5-14;0;562,400
TimSmyczek;130;USA;29;1987.12.30;73;175;1-7;0;201,309;68;36-70;0;1,677,406
OscarOtte;131;GER;24;1993.07.16;77;196;0-0;0;86,914;129;0-0;0;131,727
NorbertGombos;132;SVK;27;1990.08.13;85;196;5-10;0;254,740;80;7-21;0;610,745
DanielEvans;133;GBR;27;1990.05.23;75;175;13-12;0;405,918;41;34-46;0;1,339,693
StefanoTravaglia;134;ITA;26;1991.12.18;80;185;1-3;0;184,590;125;1-4;0;309,125
MatteoBerrettini;135;ITA;21;1996.04.12;85;193;0-1;0;84,668;120;0-1;0;109,402
RicardasBerankis;136;LTU;27;1990.06.21;70;175;5-7;0;287,300;50;81-89;0;2,164,087
PeterPolansky;137;CAN;29;1988.06.15;80;183;2-4;0;209,177;115;16-31;0;970,763
MirzaBasic;138;BIH;26;1991.07.12;88;188;4-2;0;121,670;109;17-12;0;473,398
CasperRuud;139;NOR;19;1998.12.22;77;183;7-9;0;222,116;108;9-12;0;261,018
BernardTomic;140;AUS;25;1992.10.21;91;196;10-19;0;488,564;17;169-158;3;5,293,195
MartinKlizan;141;SVK;28;1989.07.11;80;191;11-16;0;360,936;24;117-122;5;4,274,759
EliasYmer;142;SWE;21;1996.04.10;78;183;4-5;0;123,167;118;13-30;0;540,645
SebastianOfner;143;AUT;21;1996.05.12;81;191;5-3;0;201,545;129;5-3;0;234,549
RenzoOlivo;144;ARG;25;1992.03.15;73;180;8-16;0;327,412;78;20-28;0;798,066
UladzimirIgnatik;145;BLR;27;1990.07.14;82;183;0-0;0;96,982;129;13-16;0;538,264
AkiraSantillan;146;AUS;20;1997.05.22;77;180;2-5;0;133,498;144;2-7;0;211,746
YannickMaden;147;GER;28;1989.10.28;68;185;1-1;0;75,757;147;1-2;0;125,225
RamkumarRamanathan;148;IND;23;1994.11.08;77;188;8-5;0;111,048;136;12-13;0;314,105
EgorGerasimov;149;BLR;25;1992.11.11;84;183;3-0;0;71,296;121;14-4;0;236,941
GoSoeda;150;JPN;33;1984.09.05;73;178;1-3;0;150,392;47;53-87;0;1,766,781
NicolasAlmagro;151;ESP;32;1985.08.21;86;183;10-12;0;362,841;9;397-277;13;10,742,287
TommyPaul;152;USA;20;1997.05.17;78;185;6-4;0;174,593;151;7-9;0;352,690
TatsumaIto;153;JPN;29;1988.05.18;75;180;0-2;0;124,423;60;35-61;0;1,306,945
AlessandroGiannessi;154;ITA;27;1990.05.30;82;185;6-9;0;190,029;84;10-16;0;634,692
CorentinMoutet;155;FRA;18;1999.04.19;68;175;0-0;0;58,270;154;0-0;0;89,397
GlebSakharov;156;FRA;29;1988.06.10;78;185;1-1;0;90,153;155;1-1;0;187,238
CalvinHemery;157;FRA;22;1995.01.28;85;188;0-1;0;71,881;152;1-3;0;206,937
NikolaMilojevic;158;SRB;22;1995.06.19;76;188;0-0;0;80,362;143;1-1;0;177,235
KennyDeSchepper;159;FRA;30;1987.05.29;104;203;5-4;0;116,303;62;26-59;0;1,499,015
AndrejMartin;160;SVK;28;1989.09.20;72;180;2-2;0;71,695;98;13-13;0;709,910
MathiasBourgue;161;FRA;23;1994.01.18;83;188;0-2;0;116,165;140;1-3;0;388,080
FelixAuger-Aliassime;162;CAN;17;2000.08.08;84;191;0-0;0;64,377;153;0-0;0;86,995
JurgenZopp;163;EST;29;1988.03.29;88;191;1-2;0;47,300;71;18-32;0;792,916
TommyRobredo;164;ESP;35;1982.05.01;75;180;6-11;0;232,308;5;533-354;12;13,172,359
JozefKovalik;165;SVK;25;1992.11.04;82;183;3-6;0;132,279;109;7-15;0;466,999
YoshihitoNishioka;166;JPN;22;1995.09.27;64;170;9-9;0;214,339;58;22-27;0;776,988
StefanKozlov;167;USA;19;1998.02.01;79;183;2-9;0;173,581;115;5-15;0;387,296
SoonwooKwon;168;KOR;20;1997.12.02;72;180;3-1;0;61,910;168;3-1;0;105,050
JoaoDomingues;169;POR;24;1993.10.05;70;;2-1;0;55,788;166;4-1;0;115,936
LiamBroady;170;GBR;23;1994.01.04;78;183;2-2;0;78,968;158;3-6;0;357,585
SimoneBolelli;171;ITA;32;1985.10.08;83;183;2-4;0;214,496;36;117-158;0;4,726,425
AlexeyVatutin;172;RUS;25;1992.10.27;69;178;0-0;0;66,048;172;0-0;0;157,306
DarianKing;173;BAR;25;1992.04.26;77;188;9-4;0;172,397;106;26-10;0;339,069
DenisKudla;174;USA;25;1992.08.17;75;180;0-0;0;13,602;157;7-19;0;1,666,932
MichaelMmoh;175;USA;19;1998.01.10;85;185;0-4;0;147,330;141;0-7;0;284,605
MackenzieMcDonald;176;USA;22;1995.04.16;66;178;0-0;0;92,706;164;0-4;0;253,134
MarcelGranollers;177;ESP;31;1986.04.12;77;191;4-17;0;339,238;19;189-234;4;9,390,048
ArthurDeGreef;178;BEL;25;1992.03.27;73;183;2-5;0;121,330;113;3-6;0;301,628
AldinSetkic;179;BIH;30;1987.12.21;86;191;0-1;0;80,952;165;8-7;0;371,153
MatthiasBachinger;180;GER;30;1987.04.02;83;188;0-0;0;45,706;85;23-46;0;1,243,582
FacundoBagnis;181;ARG;27;1990.02.27;82;183;5-8;0;36,407;78;20-22;1;1,120,190
ViktorGalovic;182;CRO;27;1990.09.19;88;193;1-0;0;47,714;182;1-1;0;103,568
FilipPeliwo;183;CAN;23;1994.01.30;72;178;0-0;0;46,508;183;2-6;0;185,178
JaumeMunar;184;ESP;20;1997.05.05;78;183;0-1;0;43,724;184;1-4;0;126,489
CarlosTaberner;185;ESP;20;1997.08.08;78;183;0-0;0;36,784;175;0-0;0;67,879
JurgenMelzer;186;AUT;36;1981.05.22;81;183;0-2;0;80,169;8;348-334;5;9,936,146
BenjaminBonzi;187;FRA;21;1996.06.09;75;183;1-1;0;122,529;176;1-1;0;163,292
VincentMillot;188;FRA;31;1986.01.30;75;173;2-5;0;176,878;135;7-21;0;896,582
AlexBolt;189;AUS;24;1993.01.05;84;183;5-2;0;52,917;86;11-7;0;372,622
MarceloArevalo;190;ESA;27;1990.10.17;86;191;4-1;0;67,250;176;20-17;0;285,614
MitchellKrueger;191;USA;23;1994.01.12;82;188;1-3;0;130,818;169;1-4;0;318,151
ZeZhang;192;CHN;27;1990.07.04;83;188;1-4;0;91,205;148;17-37;0;792,767
GuidoAndreozzi;193;ARG;26;1991.08.05;77;183;0-1;0;15,940;128;0-3;0;516,439
GoncaloOliveira;194;POR;22;1995.02.17;80;188;0-0;0;13,342;163;0-0;0;115,503
DuckheeLee;195;KOR;19;1998.05.29;75;175;0-1;0;96,964;130;0-1;0;223,544
IllyaMarchenko;196;UKR;30;1987.09.08;82;185;4-6;0;172,487;49;61-83;0;1,944,899
KamilMajchrzak;197;POL;21;1996.01.13;74;183;0-4;0;43,970;197;1-6;0;110,657
RicardoOjedaLara;198;ESP;24;1993.01.26;76;180;0-0;0;47,369;171;0-0;0;113,664
ErnestsGulbis;199;LAT;29;1988.08.30;88;193;6-8;0;317,146;10;226-211;6;6,459,404
AttilaBalazs;200;HUN;29;1988.12.27;78;180;1-3;0;57,080;153;15-11;0;229,891
NoahRubin;201;USA;21;1996.02.21;68;175;1-2;0;105,479;163;3-9;0;323,334
AdamPavlasek;202;CZE;23;1994.10.08;76;185;1-5;0;182,240;72;4-8;0;470,739
LukasRosol;203;CZE;32;1985.07.24;84;196;3-4;0;150,488;26;117-151;2;4,096,004
SalvatoreCaruso;204;ITA;25;1992.12.15;78;;0-1;0;75,793;156;0-2;0;217,605
GuilhermeClezar;205;BRA;24;1992.12.31;79;183;0-2;0;46,734;153;0-12;0;490,989
BlazRola;206;SLO;27;1990.10.05;85;193;0-0;0;57,885;78;15-18;0;643,124
MiomirKecmanovic;207;SRB;18;1999.08.31;75;183;0-0;0;44,481;207;0-0;0;51,253
AlexdeMinaur;208;AUS;18;1999.02.17;69;180;2-5;0;204,674;182;2-5;0;233,447
ThanasiKokkinakis;209;AUS;21;1996.04.10;82;196;6-7;0;244,533;69;21-34;0;938,439
MohamedSafwat;210;EGY;27;1990.09.19;83;183;1-4;0;93,974;187;4-14;0;312,072
StefanoNapolitano;211;ITA;22;1995.04.11;90;196;1-2;0;152,888;152;1-2;0;264,849
LorenzoSonego;212;ITA;22;1995.05.11;73;;0-0;0;34,932;204;0-1;0;98,949
EvanKing;213;USA;25;1992.03.25;79;185;1-2;0;96,925;195;1-3;0;197,233
BradleyKlahn;214;USA;27;1990.08.20;75;183;0-0;0;79,247;63;4-18;0;652,760
KevinKing;215;USA;26;1991.02.28;86;191;0-0;0;34,941;202;0-2;0;141,710
PedjaKrstin;216;SRB;23;1994.09.03;73;183;0-0;0;44,582;159;0-2;0;202,196
BraydenSchnur;217;CAN;22;1995.07.04;84;193;0-3;0;62,344;192;0-4;0;118,818
StephaneRobert;218;FRA;37;1980.05.17;77;185;1-11;0;212,454;50;37-72;0;2,216,454
John-PatrickSmith;219;AUS;28;1989.01.24;84;188;0-3;0;147,530;108;5-15;0;863,147
MarcoTrungelliti;220;ARG;27;1990.01.31;78;180;1-2;0;153,809;126;5-8;0;543,117
YasutakaUchiyama;221;JPN;25;1992.08.05;78;183;4-2;1;54,950;124;7-12;1;370,855
ZdenekKolar;222;CZE;21;1996.10.09;76;185;0-0;0;44,937;218;0-0;0;101,404
SumitNagal;223;IND;20;1997.08.16;69;178;0-0;0;34,546;223;0-1;0;69,196
DmitryPopko;224;KAZ;21;1996.10.24;87;191;2-1;0;58,513;178;2-1;0;165,054
DennisNovak;225;AUT;24;1993.08.28;80;183;1-1;0;55,826;195;3-7;0;223,764
AndrewWhittington;226;AUS;24;1993.08.11;82;188;1-2;0;155,475;160;2-3;0;436,723
SantiagoGiraldo;227;COL;30;1987.11.27;75;188;6-11;0;242,497;28;165-198;0;4,278,893
VaclavSafranek;228;CZE;23;1994.05.20;80;183;0-1;0;96,090;191;0-1;0;160,161
ReillyOpelka;229;USA;20;1997.08.28;100;211;1-8;0;177,579;125;6-13;0;326,701
IlyaIvashka;230;BLR;23;1994.02.24;83;196;2-2;0;62,856;159;7-3;0;183,911
DennisNovikov;231;USA;24;1993.11.06;91;193;2-3;0;121,563;119;5-11;0;523,832
TallonGriekspoor;232;NED;21;1996.07.02;82;188;0-2;0;51,532;232;0-2;0;91,330
TobiasKamke;233;GER;31;1986.05.21;76;178;2-2;0;102,890;64;63-102;0;2,201,296
AndreaArnaboldi;234;ITA;30;1987.12.27;72;180;0-0;0;52,455;153;3-7;0;643,682
Karim-MohamedMaamoun;235;EGY;26;1991.04.09;73;175;0-0;0;34,135;225;3-3;0;98,772
LucaVanni;236;ITA;32;1985.06.04;94;198;0-2;0;100,963;100;5-16;0;587,599
TeymurazGabashvili;237;RUS;32;1985.05.23;83;188;0-3;0;128,665;43;116-199;0;3,998,721
HubertHurkacz;238;POL;20;1997.02.11;79;196;0-4;0;34,427;236;1-7;0;65,452
JasonJung;239;TPE;28;1989.06.15;69;180;0-4;0;55,527;143;0-4;0;230,591
TomislavBrkic;240;BIH;27;1990.03.09;80;185;1-0;0;36,698;212;3-6;0;170,915
HugoDellien;241;BOL;24;1993.06.16;75;178;1-1;0;29,470;232;8-6;0;109,424
NicolaKuhn;242;ESP;17;2000.03.20;75;185;0-1;0;45,447;228;0-1;0;50,262
PrajneshGunneswaran;243;IND;28;1989.11.12;80;188;1-1;0;49,729;213;1-1;0;92,310
DiWu;244;CHN;26;1991.09.14;65;175;2-2;0;23,040;191;2-9;0;708,207
AndreaCollarini;245;ARG;25;1992.01.31;80;185;0-0;0;40,233;186;0-0;0;182,827
JoaoSouza;246;BRA;29;1988.05.27;92;193;1-3;0;71,628;69;27-50;0;1,306,528
ChristianHarrison;247;USA;23;1994.05.29;77;180;0-2;0;64,133;239;1-4;0;203,582
SamGroth;248;AUS;30;1987.10.19;100;193;2-5;0;108,347;53;38-62;0;1,906,262
Paul-HenriMathieu;249;FRA;35;1982.01.12;74;185;1-9;0;180,965;12;276-306;4;6,299,093
EdanLeshem;250;ISR;20;1997.03.19;70;183;0-3;0;38,774;249;1-5;0;70,189
JoaoMonteiro;251;POR;24;1993.12.27;77;178;0-0;0;30,401;237;0-0;0;40,740
TommyHaas;252;GER;39;1978.04.03;84;188;6-14;0;261,904;2;569-338;15;13,609,987
DaniloPetrovic;253;SRB;25;1992.01.24;86;203;0-0;0;36,344;249;0-0;0;128,992
FedericoGaio;254;ITA;25;1992.03.05;84;180;2-2;0;74,908;146;2-4;0;282,561
JayClarke;255;GBR;19;1998.07.27;80;183;0-0;0;52,457;219;0-0;0;82,429
AlexanderSarkissian;256;USA;27;1990.04.03;79;191;0-0;0;58,041;157;2-3;0;204,632
CemIlkel;257;TUR;22;1995.08.21;79;185;1-4;0;61,732;228;3-12;0;154,549
JavierMarti;258;ESP;25;1992.01.11;;;0-0;0;29,264;170;2-11;0;365,999
LorenzoGiustino;259;ITA;26;1991.09.10;80;183;0-1;0;65,078;165;0-3;0;251,726
AleksandrNedovyesov;260;KAZ;30;1987.02.15;81;193;0-1;0;50,868;72;6-26;0;825,422
PedroMartinez;261;ESP;20;1997.04.26;70;183;0-0;0;10,336;206;0-0;0;76,165
JulienCagnina;262;BEL;23;1994.06.04;70;183;0-0;0;26,516;239;0-0;0;85,898
AustinKrajicek;263;USA;27;1990.06.16;79;188;0-1;0;52,940;94;12-24;0;837,998
Tsung-HuaYang;264;TPE;26;1991.03.29;80;178;0-0;0;27,297;164;6-19;0;403,862
PedroCachin;265;ARG;22;1995.04.12;;;0-0;0;26,712;166;0-1;0;120,254
MatteoDonati;266;ITA;22;1995.02.28;74;185;0-0;0;6,710;232;1-1;0;271,398
KimmerCoppejans;267;BEL;23;1994.02.07;68;180;0-1;0;58,957;97;1-7;0;319,837
MarekJaloviec;268;CZE;23;1994.02.21;72;180;0-0;0;36,869;244;0-0;0;69,185
EnriqueLopezPerez;269;ESP;26;1991.06.03;76;;0-0;0;62,209;162;0-1;0;307,623
ZheLi;270;CHN;31;1986.09.20;77;185;2-0;0;31,347;210;5-6;0;358,267
FacundoArguello;271;ARG;25;1992.08.04;77;178;0-0;0;8,112;124;2-7;0;492,344
DayneKelly;272;AUS;27;1990.07.23;;;0-0;0;34,247;252;0-0;0;127,657
